Time (abs), P1 (atm), SetP1 (atm), Rate (Hz) 
12:39.4,199.72,200,42.76
12:39.5,199.7,200,41.89
12:39.5,199.7,200,42.34
12:39.6,199.71,200,44.27
12:39.6,199.71,200,44.36
12:39.6,199.72,200,42.85
12:39.6,199.71,200,42.98
12:39.6,199.72,200,41.29
12:39.7,199.71,200,43.03
12:39.7,199.71,200,42.62
12:39.7,199.71,200,42.8
12:39.7,199.71,200,42.8
12:39.8,199.72,200,44.13
12:39.8,199.72,200,44.13
12:39.8,199.72,200,41.61
12:39.9,199.7,200,42.62
12:39.9,199.7,200,42.16
12:39.9,199.72,200,44.49
12:39.9,199.72,200,45.59
12:39.9,199.72,200,42.62
12:40.0,199.72,200,42.62
12:40.0,199.7,200,42.57
12:40.0,199.7,200,42.57
12:40.0,199.7,200,45.55
12:40.1,199.7,200,44.31
12:40.1,199.69,200,45.64
12:40.1,199.7,200,45.64
12:40.1,199.69,200,46.33
12:40.1,199.69,200,44.31
12:40.2,199.69,200,46.28
12:40.2,199.68,200,46.19
12:40.2,199.7,200,46.19
12:40.2,199.7,200,47.88
12:40.3,199.7,200,45.32
12:40.3,199.7,200,45.46
12:40.3,199.7,200,45.46
12:40.3,199.7,200,45.46
12:40.3,199.7,200,45.46
12:40.4,199.7,200,45.46
12:40.4,199.7,200,45.46
12:40.4,199.7,200,45.46
12:40.4,199.7,200,45.46
12:40.4,199.7,200,45.46
12:40.5,199.7,200,45.46
12:40.5,199.7,200,45.46
12:40.5,199.7,200,45.46
12:40.5,199.7,200,45.46
12:40.6,199.7,200,45.46
12:40.6,199.7,200,45.46
12:40.6,199.7,200,45.46
12:40.6,199.7,200,45.46
12:40.6,199.68,200,45.46
12:40.7,199.68,200,45.46
12:40.7,199.67,200,47.56
12:40.7,199.66,200,48.39
12:40.7,199.66,200,49.53
12:40.8,199.67,200,50.4
12:40.8,199.66,200,50.4
12:40.8,199.66,200,49.94
12:40.8,199.66,200,51.13
12:40.8,199.66,200,51.13
12:40.9,199.66,200,51.13
12:40.9,199.66,200,51.13
12:40.9,199.66,200,51.13
12:40.9,199.66,200,51.13
12:40.9,199.66,200,51.13
12:41.0,199.66,200,51.13
12:41.0,199.66,200,51.13
12:41.0,199.65,200,51.13
12:41.0,199.64,200,51.13
12:41.0,199.66,200,53.19
12:41.1,199.66,200,54.7
12:41.1,199.64,200,51.64
12:41.1,199.65,200,51.64
12:41.1,199.64,200,53.83
12:41.2,199.64,200,52.69
12:41.2,199.63,200,54.02
12:41.2,199.64,200,54.02
12:41.2,199.62,200,55.07
12:41.2,199.63,200,54.29
12:41.3,199.63,200,56.9
12:41.3,199.63,200,56.08
12:41.3,199.63,200,56.08
12:41.3,199.63,200,56.08
12:41.3,199.63,200,56.08
12:41.0,199.63,200,56.08
12:41.4,199.62,200,56.08
12:41.4,199.64,200,56.08
12:41.4,199.63,200,57.04
12:41.5,199.62,200,54.11
12:41.5,199.62,200,55.94
12:41.5,199.62,200,56.9
12:41.5,199.62,200,56.9
12:41.6,199.62,200,56.26
12:41.6,199.63,200,57.5
12:41.6,199.62,200,57.22
12:41.6,199.63,200,55.3
12:41.6,199.63,200,56.44
12:41.7,199.63,200,55.8
12:41.7,199.63,200,55.8
12:41.7,199.63,200,55.3
12:41.7,199.62,200,56.21
12:41.8,199.62,200,56.03
12:41.8,199.61,200,56.67
12:41.8,199.63,200,56.67
12:41.8,199.62,200,58.87
12:41.8,199.62,200,56.03
12:41.9,199.62,200,56.49
12:41.9,199.62,200,56.49
12:41.9,199.62,200,57.22
12:41.9,199.61,200,56.9
12:41.9,199.61,200,56.9
12:42.0,199.61,200,58.32
12:42.0,199.61,200,58.36
12:42.0,199.61,200,58.14
12:42.0,199.63,200,58.27
12:42.1,199.63,200,58.27
12:42.1,199.63,200,55.07
12:42.1,199.64,200,55.02
12:42.1,199.62,200,55.44
12:42.1,199.62,200,54.15
12:42.2,199.62,200,57.54
12:42.2,199.63,200,57.54
12:42.2,199.63,200,57.27
12:42.2,199.61,200,55.98
12:42.3,199.62,200,56.17
12:42.3,199.62,200,59.14
12:42.3,199.62,200,56.9
12:42.3,199.61,200,56.9
12:42.4,199.64,200,57.72
12:42.4,199.63,200,58.36
12:42.4,199.62,200,54.34
12:42.4,199.63,200,54.84
12:42.4,199.63,200,56.53
12:42.5,199.63,200,55.34
12:42.5,199.63,200,55.34
12:42.5,199.63,200,56.17
12:42.5,199.63,200,56.08
12:42.6,199.64,200,55.16
12:42.6,199.64,200,55.16
12:42.6,199.66,200,54.29
12:42.6,199.65,200,54.2
12:42.6,199.65,200,50.86
12:42.7,199.64,200,51.86
12:42.7,199.64,200,51.86
12:42.7,199.66,200,54.02
12:42.7,199.65,200,53.79
12:42.7,199.65,200,50.54
12:42.8,199.67,200,51.82
12:42.8,199.67,200,52
12:42.8,199.67,200,49.39
12:42.8,199.65,200,49.39
12:42.9,199.64,200,49.53
12:42.9,199.65,200,52.69
12:42.9,199.65,200,53.47
12:42.9,199.65,200,53.1
12:42.9,199.66,200,53.19
12:43.0,199.66,200,53.19
12:43.0,199.66,200,50.31
12:43.0,199.66,200,51.32
12:43.0,199.67,200,51.45
12:43.0,199.67,200,51.45
12:43.1,199.67,200,49.71
12:43.1,199.67,200,50.22
12:43.1,199.64,200,49.44
12:43.1,199.65,200,49.44
12:43.1,199.66,200,53.28
12:43.2,199.66,200,52.14
12:43.2,199.65,200,51.36
12:43.2,199.66,200,51.36
12:43.2,199.67,200,52.69
12:43.2,199.67,200,50.31
12:43.3,199.67,200,50.03
12:43.3,199.67,200,50.03
12:43.3,199.68,200,49.03
12:43.3,199.68,200,49.03
12:43.3,199.67,200,48.25
12:43.4,199.67,200,47.93
12:43.4,199.68,200,50.22
12:43.4,199.67,200,50.22
12:43.4,199.67,200,47.42
12:43.5,199.66,200,49.76
12:43.5,199.66,200,49.76
12:43.5,199.66,200,51.73
12:43.5,199.69,200,51.09
12:43.5,199.68,200,51.09
12:43.6,199.68,200,47.06
12:43.6,199.67,200,48.57
12:43.6,199.67,200,48.02
12:43.6,199.68,200,49.26
12:43.7,199.68,200,49.26
12:43.7,199.69,200,48.29
12:43.7,199.68,200,48.52
12:43.7,199.68,200,46.55
12:43.7,199.67,200,47.42
12:43.8,199.67,200,48.34
12:43.8,199.67,200,49.58
12:43.8,199.67,200,49.58
12:43.8,199.67,200,49.58
12:43.8,199.67,200,49.58
12:43.9,199.67,200,49.58
12:43.9,199.67,200,49.58
12:43.9,199.67,200,49.58
12:43.9,199.67,200,49.58
12:43.9,199.67,200,49.58
12:44.0,199.66,200,49.58
12:44.0,199.66,200,49.58
12:44.0,199.67,200,50.72
12:44.0,199.66,200,50.72
12:44.1,199.66,200,49.85
12:44.1,199.66,200,50.49
12:44.1,199.64,200,50.86
12:44.1,199.62,200,50.86
12:44.1,199.63,200,53.97
12:44.2,199.63,200,56.72
12:44.2,199.65,200,55.21
12:44.2,199.64,200,55.21
12:44.2,199.65,200,51.96
12:44.3,199.65,200,54.24
12:44.3,199.65,200,51.86
12:44.3,199.66,200,52.83
12:44.3,199.64,200,52.96
12:44.4,199.65,200,51.73
12:44.4,199.65,200,53.88
12:44.4,199.65,200,53.01
12:44.4,199.63,200,53.01
12:44.5,199.66,200,52.55
12:44.5,199.65,200,55.48
12:44.5,199.66,200,51.68
12:44.5,199.66,200,51.91
12:44.5,199.64,200,50.9
12:44.6,199.65,200,51.5
12:44.6,199.66,200,53.28
12:44.6,199.66,200,52.92
12:44.6,199.68,200,50.72
12:44.7,199.66,200,50.58
12:44.7,199.66,200,48.39
12:44.7,199.66,200,50.26
12:44.7,199.66,200,50.26
12:44.8,199.67,200,50.54
12:44.8,199.67,200,50.9
12:44.8,199.65,200,49.76
12:44.8,199.66,200,49.3
12:44.8,199.66,200,52.46
12:44.9,199.66,200,50.49
12:44.9,199.66,200,50.49
12:44.9,199.67,200,50.26
12:44.9,199.66,200,50.26
12:45.0,199.66,200,48.75
12:45.0,199.66,200,50.31
12:45.0,199.64,200,51.18
12:45.0,199.64,200,50.26
12:45.0,199.66,200,53.51
12:45.1,199.66,200,53.38
12:45.1,199.66,200,50.26
12:45.1,199.68,200,50.26
12:45.1,199.67,200,51.09
12:45.2,199.68,200,48.02
12:45.2,199.68,200,49.07
12:45.2,199.67,200,48.43
12:45.2,199.68,200,48.43
12:45.2,199.7,200,49.85
12:45.3,199.67,200,48.57
12:45.3,199.67,200,45.73
12:45.3,199.69,200,48.8
12:45.3,199.67,200,48.8
12:45.4,199.69,200,46.92
12:45.4,199.69,200,48.89
12:45.4,199.68,200,46.23
12:45.4,199.69,200,46.23
12:45.4,199.68,200,47.33
12:45.5,199.69,200,46.19
12:45.5,199.69,200,48.66
12:45.5,199.66,200,47.2
12:45.5,199.67,200,47.2
12:45.5,199.66,200,50.81
12:45.6,199.66,200,49.12
12:45.6,199.68,200,50.95
12:45.6,199.67,200,50.95
12:45.6,199.67,200,47.97
12:45.7,199.69,200,50.13
12:45.7,199.67,200,50.13
12:45.7,199.7,200,46.14
12:45.7,199.69,200,49.71
12:45.7,199.69,200,45.55
12:45.8,199.7,200,46.28
12:45.8,199.69,200,46.28
12:45.8,199.69,200,45.23
12:45.8,199.7,200,46.01
12:45.8,199.7,200,47.06
12:45.9,199.7,200,45
12:45.9,199.7,200,44.54
12:45.9,199.7,200,44.54
12:45.9,199.7,200,44.82
12:46.0,199.71,200,44.82
12:46.0,199.7,200,45.68
12:46.0,199.68,200,42.76
12:46.0,199.69,200,45.18
12:46.0,199.7,200,47.38
12:46.1,199.7,200,46.01
12:46.1,199.7,200,44.27
12:46.1,199.7,200,44.27
12:46.1,199.7,200,44.27
12:46.2,199.7,200,44.27
12:46.2,199.7,200,44.27
12:46.2,199.68,200,44.27
12:46.2,199.68,200,44.27
12:46.3,199.69,200,47.56
12:46.3,199.71,200,48.07
12:46.3,199.69,200,46.14
12:46.3,199.69,200,43.99
12:46.3,199.68,200,47.06
12:46.4,199.68,200,47.06
12:46.4,199.69,200,47.97
12:46.4,199.68,200,47.52
12:46.4,199.68,200,46.65
12:46.4,199.68,200,47.61
12:46.5,199.67,200,47.33
12:46.5,199.67,200,48.25
12:46.5,199.7,200,49.12
12:46.5,199.69,200,49.12
12:46.6,199.66,200,44.86
12:46.6,199.69,200,46.87
12:46.6,199.69,200,51.13
12:46.6,199.69,200,47.01
12:46.6,199.69,200,45.78
12:46.7,199.7,200,46.51
12:46.7,199.7,200,46.51
12:46.7,199.71,200,45.09
12:46.7,199.7,200,45.09
12:46.8,199.72,200,43.49
12:46.8,199.71,200,44.72
12:46.8,199.72,200,42.39
12:46.8,199.68,200,43.17
12:46.8,199.68,200,41.93
12:46.9,199.7,200,47.38
12:46.9,199.68,200,47.38
12:46.9,199.68,200,44.54
12:46.9,199.68,200,47.88
12:46.9,199.71,200,47.88
12:47.0,199.71,200,48.43
12:47.0,199.73,200,43.95
12:47.0,199.72,200,43.03
12:47.0,199.73,200,41.06
12:47.1,199.73,200,41.52
12:47.1,199.72,200,41.06
12:47.1,199.75,200,41.06
12:47.1,199.72,200,42.53
12:47.1,199.71,200,37.49
12:47.2,199.71,200,41.34
12:47.2,199.72,200,42.89
12:47.2,199.72,200,42.89
12:47.2,199.74,200,42.48
12:47.3,199.71,200,42.48
12:47.3,199.71,200,39.55
12:47.3,199.73,200,42.85
12:47.3,199.74,200,42.85
12:47.4,199.72,200,40.97
12:47.4,199.72,200,39.32
12:47.4,199.73,200,42.3
12:47.4,199.71,200,41.79
12:47.5,199.71,200,40.47
12:47.5,199.71,200,43.3
12:47.5,199.73,200,43.3
12:47.5,199.71,200,42.85
12:47.6,199.7,200,40.42
12:47.6,199.7,200,43.12
12:47.6,199.71,200,44.59
12:47.6,199.72,200,44.59
12:47.7,199.71,200,43.17
12:47.7,199.7,200,41.38
12:47.7,199.71,200,43.99
12:47.7,199.7,200,44.77
12:47.8,199.71,200,43.08
12:47.8,199.73,200,44.27
12:47.8,199.73,200,42.98
12:47.8,199.72,200,40.19
12:47.8,199.72,200,40.19
12:47.9,199.73,200,41.38
12:47.9,199.72,200,41.61
12:47.9,199.73,200,40.24
12:47.9,199.7,200,41.47
12:48.0,199.73,200,40.56
12:48.0,199.73,200,45
12:48.0,199.7,200,40.37
12:48.0,199.7,200,40.37
12:48.0,199.7,200,44.91
12:48.1,199.71,200,45.27
12:48.1,199.71,200,45.27
12:48.1,199.71,200,43.35
12:48.1,199.71,200,43.08
12:48.2,199.69,200,43.08
12:48.2,199.69,200,44.22
12:48.2,199.69,200,46.6
12:48.2,199.7,200,47.24
12:48.2,199.7,200,47.24
12:48.3,199.73,200,44.59
12:48.3,199.72,200,44.59
12:48.3,199.71,200,40.74
12:48.3,199.71,200,42.53
12:48.4,199.7,200,43.76
12:48.4,199.71,200,43.21
12:48.4,199.71,200,44.27
12:48.4,199.72,200,43.53
12:48.4,199.72,200,43.53
12:48.5,199.72,200,42.02
12:48.5,199.72,200,41.98
12:48.5,199.7,200,41.98
12:48.5,199.68,200,41.98
12:48.5,199.7,200,45.68
12:48.6,199.7,200,47.38
12:48.6,199.71,200,45.36
12:48.6,199.73,200,45.36
12:48.6,199.73,200,43.9
12:48.7,199.73,200,41.24
12:48.7,199.71,200,39.78
12:48.7,199.72,200,39.78
12:48.7,199.73,200,43.95
12:48.8,199.7,200,41.66
12:48.8,199.73,200,41.11
12:48.8,199.72,200,44.45
12:48.8,199.72,200,39.92
12:48.9,199.73,200,42.3
12:48.9,199.72,200,42.3
12:48.9,199.72,200,40.05
12:48.9,199.74,200,41.79
12:48.9,199.74,200,41.79
12:49.0,199.72,200,39.51
12:49.0,199.73,200,38.41
12:49.0,199.75,200,41.38
12:49.0,199.75,200,39.87
12:49.1,199.75,200,36.9
12:49.1,199.75,200,37.77
12:49.1,199.75,200,37.86
12:49.1,199.75,200,37.86
12:49.1,199.72,200,37.35
12:49.2,199.73,200,37.35
12:49.2,199.73,200,42.3
12:49.2,199.73,200,40.28
12:49.2,199.75,200,40.56
12:49.3,199.74,200,40.56
12:49.3,199.73,200,36.8
12:49.3,199.73,200,39.6
12:49.3,199.74,200,40.65
12:49.3,199.73,200,40.65
12:49.4,199.75,200,39.14
12:49.4,199.74,200,40.88
12:49.4,199.74,200,37.03
12:49.4,199.74,200,38.96
12:49.5,199.75,200,38.96
12:49.5,199.74,200,39.14
12:49.5,199.74,200,36.99
12:49.5,199.74,200,39.28
12:49.5,199.72,200,39.28
12:49.6,199.73,200,38.41
12:49.6,199.71,200,41.52
12:49.6,199.71,200,40.47
12:49.6,199.72,200,43.9
12:49.7,199.71,200,43.9
12:49.7,199.71,200,42.71
12:49.7,199.73,200,44.04
12:49.7,199.72,200,44.04
12:49.8,199.71,200,40.88
12:49.8,199.73,200,41.56
12:49.8,199.72,200,42.85
12:49.8,199.72,200,40.79
12:49.9,199.72,200,41.61
12:49.9,199.73,200,41.84
12:49.9,199.72,200,41.84
12:49.9,199.73,200,41.02
12:49.9,199.73,200,42.02
12:50.0,199.74,200,39.92
12:50.0,199.73,200,39.92
12:50.0,200.54,200,39.69
12:50.0,201.83,200,40.65
12:50.1,201.83,200,1
12:50.1,201.86,200,1
12:50.1,201.51,200,1
12:50.1,199.35,200,1
12:50.2,199.35,200,1
12:50.2,198.93,200,97.92
12:50.2,198.57,200,97.92
12:50.2,198.57,200,159.85
12:50.3,198.37,200,213.91
12:50.3,198.27,200,213.91
12:50.3,198.16,200,244.63
12:50.3,198.12,200,259.55
12:50.3,198.12,200,275.48
12:50.4,198.08,200,281.39
12:50.4,198.07,200,281.39
12:50.4,198.07,200,287.38
12:50.4,198.07,200,289.35
12:50.4,198.04,200,289.12
12:50.5,198.04,200,289.12
12:50.5,198.04,200,293.56
12:50.5,198.05,200,293.56
12:50.5,198.06,200,293.47
12:50.6,198.06,200,291.87
12:50.6,198.05,200,290.82
12:50.6,198.05,200,290.82
12:50.6,198.05,200,291.96
12:50.7,198.03,200,293.15
12:50.7,198.04,200,293.15
12:50.7,198.03,200,294.98
12:50.7,198.03,200,294.02
12:50.7,198,200,295.81
12:50.8,197.98,200,295.81
12:50.8,197.98,200,300.11
12:50.8,197.99,200,303.09
12:50.8,197.99,200,303.09
12:50.9,197.98,200,301.9
12:50.9,197.98,200,301.85
12:50.9,197.96,200,303.09
12:50.9,197.95,200,303.09
12:51.0,197.94,200,305.74
12:51.0,197.94,200,307.89
12:51.0,197.92,200,308.72
12:51.0,197.92,200,309.08
12:51.0,197.9,200,312.19
12:51.1,197.9,200,312.19
12:51.1,197.89,200,314.94
12:51.1,197.87,200,314.94
12:51.1,197.84,200,315.99
12:51.2,197.84,200,319.84
12:51.2,197.85,200,323.73
12:51.2,197.83,200,323.64
12:51.2,197.83,200,322.68
12:51.3,197.83,200,325.7
12:51.3,197.83,200,325.2
12:51.3,197.82,200,324.87
12:51.3,197.8,200,324.87
12:51.3,197.82,200,327.67
12:51.4,197.82,200,329.73
12:51.4,197.82,200,327.67
12:51.4,197.82,200,327.67
12:51.4,197.84,200,327.62
12:51.4,197.84,200,327.21
12:51.5,197.84,200,324.1
12:51.5,197.83,200,324.05
12:51.5,197.84,200,324.05
12:51.5,197.84,200,325.61
12:51.5,197.83,200,324.28
12:51.6,197.82,200,323.91
12:51.6,197.84,200,325.97
12:51.6,197.84,200,326.34
12:51.6,197.84,200,323.68
12:51.7,197.85,200,324.33
12:51.7,197.84,200,324.33
12:51.7,197.83,200,323.09
12:51.7,197.84,200,323.59
12:51.7,197.84,200,325.56
12:51.8,197.84,200,324.28
12:51.8,197.84,200,324.28
12:51.8,197.84,200,324.33
12:51.8,197.84,200,324.14
12:51.8,197.83,200,323.78
12:51.9,197.83,200,323.78
12:51.9,197.83,200,325.1
12:51.9,197.83,200,325.56
12:51.9,197.83,200,325.56
12:51.9,197.83,200,325.29
12:52.0,197.85,200,324.83
12:52.0,197.84,200,325.15
12:52.0,197.84,200,323.04
12:52.0,197.83,200,324.01
12:52.1,197.85,200,324.01
12:52.1,197.85,200,325.7
12:52.1,197.85,200,321.99
12:52.1,197.85,200,321.99
12:52.1,197.84,200,322.95
12:52.2,197.84,200,322.95
12:52.2,197.85,200,323.36
12:52.2,197.85,200,323.96
12:52.2,197.85,200,323.09
12:52.2,197.85,200,321.85
12:52.3,197.84,200,321.85
12:52.3,197.85,200,322.59
12:52.3,197.85,200,324.23
12:52.3,197.85,200,322.63
12:52.3,197.85,200,322.63
12:52.4,197.84,200,322.36
12:52.4,197.85,200,322.49
12:52.4,197.85,200,323.5
12:52.4,197.85,200,322.45
12:52.4,197.85,200,321.99
12:52.5,197.85,200,321.99
12:52.5,197.85,200,323.18
12:52.5,197.86,200,321.85
12:52.5,197.88,200,321.85
12:52.5,197.87,200,320.89
12:52.6,197.89,200,318.24
12:52.6,197.89,200,318.92
12:52.6,197.89,200,315.99
12:52.6,197.88,200,317.05
12:52.7,197.88,200,317.18
12:52.7,197.88,200,317.73
12:52.7,197.89,200,317.73
12:52.7,197.88,200,317.64
12:52.8,197.89,200,316.54
12:52.8,197.9,200,317.64
12:52.8,197.9,200,316.59
12:52.8,197.91,200,314.8
12:52.8,197.9,200,314.8
12:52.9,197.9,200,313.48
12:52.9,197.9,200,314.67
12:52.9,197.9,200,314.67
12:52.9,197.91,200,314.99
12:52.9,197.91,200,314.94
12:53.0,197.93,200,314.16
12:53.0,197.9,200,314.16
12:53.0,197.91,200,311.1
12:53.0,197.91,200,315.63
12:53.0,197.92,200,313.8
12:53.1,197.92,200,314.03
12:53.1,197.92,200,312.19
